Column,control number,personal name,personal name 1,personal name 2,personal name 3,personal relationship
61,9992221134401488,"Benoist, René",Benoist, René,,aut
62,9992221134501488,"Benoist, René",Benoist, René,,aut
63,9992221134801488,"Benoist, René",Benoist, René,,aut
64,9992221135501488,"Du Pré, Jacques",Du Pré, Jacques,,aut
65,9992221140201488,"Doremet, Jacques",Doremet, Jacques,,aut
66,9992221140301488,"Doremet, Jacques",Doremet, Jacques,,aut
67,9992221141901488,"Doremet, Jacques",Doremet, Jacques,,aut
68,9992221142201488,"Doré, Pierre",Doré, Pierre,,aut
69,9992221144901488,"de Sainctes, Claude",de Sainctes, Claude,,aut
70,9992221145401488,"de Reboul, Guillaume",de Reboul, Guillaume,,aut
71,9992221149301488,"de Reboul, Guillaume",de Reboul, Guillaume,,aut
72,9992221149601488,"de Reboul, Guillaume",de Reboul, Guillaume,,aut
73,9992221150401488,"de Reboul, Guillaume",de Reboul, Guillaume,,aut
74,9992221166601488,"Bourgeois, Jacques",Bourgeois, Jacques,,trl
75,9992221166701488,"de Launoy, Matthieu",de Launoy, Matthieu,,aut
76,9992221167501488,"Coturie, Louis",Coturie, Louis,,aut
77,9992221177001488,"de Bordes, Jean",de Bordes, Jean,,aut
78,9992221204901488,"Courtin, Pierre",Courtin, Pierre,,aut
79,9992224395801488,"Fabricius Boderianus, Guido",Fabricius Boderianus, Guido,,trl
80,9992225186001488,"Du Duc, Fronton",Du Duc, Fronton,,aut
81,9992225659601488,"Talpin, Jean",Talpin, Jean,,aut
82,9992225659701488,"Hervet, Gentian",Hervet, Gentian,,aut
83,9992225662401488,"Hay, John",Hay, John,,aut
84,9992225662701488,"Hay, John",Hay, John,,aut
85,9992225663201488,"Benoist, René",Benoist, René,,aut
86,9992225681501488,"Benoist, René",Benoist, René,,aut
87,9992225682001488,"Michelet, Jacques",Michelet, Jacques,,aut
88,9992225682301488,"Benoist, René",Benoist, René,,aut
89,9992225682701488,"Choquart, Charles",Choquart, Charles,,aut
90,9992225683001488,"Heluïs, Jean",Heluïs, Jean,,aut
91,9992225683301488,"Grandin, François",Grandin, François,,aut
92,9992225708801488,Galen.,Galen.,,,aut
93,9992228558101488,"Lefèvre d'Étaples, Jacques",Lefèvre d'Étaples, Jacques,,aut
94,9992228558401488,"Du Préau, Gabriel",Du Préau, Gabriel,,aut
95,9992228563501488,"de Lavardin, Jean",de Lavardin, Jean,,aut
96,9992228566201488,"Capitis, Fremin",Capitis, Fremin,,aut
97,9992228566901488,"Le Blanc, Guillaume",Le Blanc, Guillaume,,aut
98,9992229880001488,"Erasmus Roterodamus, Desiderius",Erasmus Roterodamus, Desiderius,,aow
99,9992230391901488,"Richardot, François",Richardot, François,,aut
100,9912560920101488,"Acciaiuoli, Zenobio",Acciaiuoli, Zenobio,,trl
101,9912637080101488,"Stapleton, Thomas",Stapleton, Thomas,,aut
102,9912955770101488,Lupus Ferrariensis.,Lupus Ferrariensis.,,,aut
103,9912956300101488,"de Launoy, Matthieu",de Launoy, Matthieu,,aut
104,9912960200101488,"Pollet, François",Pollet, François,,aut
105,9912986670101488,Martinus Bracarensis,Martinus Bracarensis,,,ctb
106,9913059800101488,"de Croy, Robert",de Croy, Robert,,oth
107,9913071730101488,"Valerius, Cornelius",Valerius, Cornelius,,aut
108,9913079780101488,"Valerius, Cornelius",Valerius, Cornelius,,aut
109,9913079830101488,"Valerius, Cornelius",Valerius, Cornelius,,aut
110,9913119760101488,"Bacherius, Petrus",Bacherius, Petrus,,edt
111,9913155500101488,"Egnazio, Giovanni Battista",Egnazio, Giovanni Battista,,edt
112,9913198590101488,"Lipsius, Justus",Lipsius, Justus,,edt
113,9913238510101488,"Witzel, Georg",Witzel, Georg,,aut
114,9913312620101488,Marcus Eremita,Marcus Eremita,,,aut
115,9913391030101488,Andronicus,Andronicus,,,dte
116,9913866580101488,"Molina, Ludovicus",Molina, Ludovicus,,aut
117,9913879820101488,Philip,Philip,,,dte
118,9914033070101488,Aristoteles.,Aristoteles.,,,aut
119,9914047510101488,Aristoteles.,Aristoteles.,,,aut
121,9914179920101488,Basilius,Basilius,,,aut
122,9914181700101488,"Galenus, Claudius.",Galenus, Claudius.,,aut
